ID,overetch,distance,coeff(1),coeff(2),coeff(3),coeff(4)
1,0.0,20.0,-1.5,-1.5,-1.5,-1.5
11,0.0,20.0,-1.5,0.0,-1.5,0.0
21,0.0,20.0,-1.5,1.5,-1.5,1.5
10,0.0,20.0,-1.5,0.0,-1.5,-1.5
31,0.0,20.0,0.0,-1.5,0.0,-1.5
20,0.0,20.0,-1.5,1.5,-1.5,0.0
9,0.0,20.0,-1.5,-1.5,1.5,1.5
30,0.0,20.0,0.0,-1.5,-1.5,1.5
19,0.0,20.0,-1.5,1.5,-1.5,-1.5
39,0.0,20.0,0.0,0.0,-1.5,1.5
8,0.0,20.0,-1.5,-1.5,1.5,0.0
29,0.0,20.0,0.0,-1.5,-1.5,0.0
18,0.0,20.0,-1.5,0.0,1.5,1.5
38,0.0,20.0,0.0,0.0,-1.5,0.0
7,0.0,20.0,-1.5,-1.5,1.5,-1.5
28,0.0,20.0,0.0,-1.5,-1.5,-1.5
17,0.0,20.0,-1.5,0.0,1.5,0.0
37,0.0,20.0,0.0,0.0,-1.5,-1.5
6,0.0,20.0,-1.5,-1.5,0.0,1.5
27,0.0,20.0,-1.5,1.5,1.5,1.5
16,0.0,20.0,-1.5,0.0,1.5,-1.5
36,0.0,20.0,0.0,-1.5,1.5,1.5
5,0.0,20.0,-1.5,-1.5,0.0,0.0
26,0.0,20.0,-1.5,1.5,1.5,0.0
15,0.0,20.0,-1.5,0.0,0.0,1.5
35,0.0,20.0,0.0,-1.5,1.5,0.0
4,0.0,20.0,-1.5,-1.5,0.0,-1.5
25,0.0,20.0,-1.5,1.5,1.5,-1.5
14,0.0,20.0,-1.5,0.0,0.0,0.0
34,0.0,20.0,0.0,-1.5,1.5,-1.5
3,0.0,20.0,-1.5,-1.5,-1.5,1.5
24,0.0,20.0,-1.5,1.5,0.0,1.5
13,0.0,20.0,-1.5,0.0,0.0,-1.5
33,0.0,20.0,0.0,-1.5,0.0,1.5
2,0.0,20.0,-1.5,-1.5,-1.5,0.0
23,0.0,20.0,-1.5,1.5,0.0,0.0
12,0.0,20.0,-1.5,0.0,-1.5,1.5
32,0.0,20.0,0.0,-1.5,0.0,0.0
22,0.0,20.0,-1.5,1.5,0.0,-1.5
40,0.0,20.0,0.0,0.0,0.0,-1.5
41,0.0,20.0,0.0,0.0,0.0,0.0
43,0.0,20.0,0.0,0.0,1.5,-1.5
42,0.0,20.0,0.0,0.0,0.0,1.5
44,0.0,20.0,0.0,0.0,1.5,0.0
45,0.0,20.0,0.0,0.0,1.5,1.5
46,0.0,20.0,0.0,1.5,-1.5,-1.5
47,0.0,20.0,0.0,1.5,-1.5,0.0
48,0.0,20.0,0.0,1.5,-1.5,1.5
50,0.0,20.0,0.0,1.5,0.0,0.0
49,0.0,20.0,0.0,1.5,0.0,-1.5
51,0.0,20.0,0.0,1.5,0.0,1.5
52,0.0,20.0,0.0,1.5,1.5,-1.5
53,0.0,20.0,0.0,1.5,1.5,0.0
55,0.0,20.0,1.5,-1.5,-1.5,-1.5
56,0.0,20.0,1.5,-1.5,-1.5,0.0
54,0.0,20.0,0.0,1.5,1.5,1.5
57,0.0,20.0,1.5,-1.5,-1.5,1.5
58,0.0,20.0,1.5,-1.5,0.0,-1.5
59,0.0,20.0,1.5,-1.5,0.0,0.0
61,0.0,20.0,1.5,-1.5,1.5,-1.5
60,0.0,20.0,1.5,-1.5,0.0,1.5
62,0.0,20.0,1.5,-1.5,1.5,0.0
64,0.0,20.0,1.5,0.0,-1.5,-1.5
63,0.0,20.0,1.5,-1.5,1.5,1.5
65,0.0,20.0,1.5,0.0,-1.5,0.0
66,0.0,20.0,1.5,0.0,-1.5,1.5
68,0.0,20.0,1.5,0.0,0.0,0.0
69,0.0,20.0,1.5,0.0,0.0,1.5
67,0.0,20.0,1.5,0.0,0.0,-1.5
70,0.0,20.0,1.5,0.0,1.5,-1.5
71,0.0,20.0,1.5,0.0,1.5,0.0
72,0.0,20.0,1.5,0.0,1.5,1.5
73,0.0,20.0,1.5,1.5,-1.5,-1.5
75,0.0,20.0,1.5,1.5,-1.5,1.5
77,0.0,20.0,1.5,1.5,0.0,0.0
76,0.0,20.0,1.5,1.5,0.0,-1.5
80,0.0,20.0,1.5,1.5,1.5,0.0
81,0.0,20.0,1.5,1.5,1.5,1.5
79,0.0,20.0,1.5,1.5,1.5,-1.5
74,0.0,20.0,1.5,1.5,-1.5,0.0
78,0.0,20.0,1.5,1.5,0.0,1.5
84,0.0,22.5,-1.5,-1.5,-1.5,1.5
82,0.0,22.5,-1.5,-1.5,-1.5,-1.5
87,0.0,22.5,-1.5,-1.5,0.0,1.5
83,0.0,22.5,-1.5,-1.5,-1.5,0.0
88,0.0,22.5,-1.5,-1.5,1.5,-1.5
86,0.0,22.5,-1.5,-1.5,0.0,0.0
85,0.0,22.5,-1.5,-1.5,0.0,-1.5
91,0.0,22.5,-1.5,0.0,-1.5,-1.5
89,0.0,22.5,-1.5,-1.5,1.5,0.0
90,0.0,22.5,-1.5,-1.5,1.5,1.5
92,0.0,22.5,-1.5,0.0,-1.5,0.0
93,0.0,22.5,-1.5,0.0,-1.5,1.5
94,0.0,22.5,-1.5,0.0,0.0,-1.5
96,0.0,22.5,-1.5,0.0,0.0,1.5
95,0.0,22.5,-1.5,0.0,0.0,0.0
97,0.0,22.5,-1.5,0.0,1.5,-1.5
98,0.0,22.5,-1.5,0.0,1.5,0.0
99,0.0,22.5,-1.5,0.0,1.5,1.5
100,0.0,22.5,-1.5,1.5,-1.5,-1.5
101,0.0,22.5,-1.5,1.5,-1.5,0.0
102,0.0,22.5,-1.5,1.5,-1.5,1.5
103,0.0,22.5,-1.5,1.5,0.0,-1.5
104,0.0,22.5,-1.5,1.5,0.0,0.0
105,0.0,22.5,-1.5,1.5,0.0,1.5
106,0.0,22.5,-1.5,1.5,1.5,-1.5
108,0.0,22.5,-1.5,1.5,1.5,1.5
107,0.0,22.5,-1.5,1.5,1.5,0.0
109,0.0,22.5,0.0,-1.5,-1.5,-1.5
110,0.0,22.5,0.0,-1.5,-1.5,0.0
112,0.0,22.5,0.0,-1.5,0.0,-1.5
111,0.0,22.5,0.0,-1.5,-1.5,1.5
113,0.0,22.5,0.0,-1.5,0.0,0.0
115,0.0,22.5,0.0,-1.5,1.5,-1.5
114,0.0,22.5,0.0,-1.5,0.0,1.5
118,0.0,22.5,0.0,0.0,-1.5,-1.5
117,0.0,22.5,0.0,-1.5,1.5,1.5
119,0.0,22.5,0.0,0.0,-1.5,0.0
116,0.0,22.5,0.0,-1.5,1.5,0.0
120,0.0,22.5,0.0,0.0,-1.5,1.5
124,0.0,22.5,0.0,0.0,1.5,-1.5
123,0.0,22.5,0.0,0.0,0.0,1.5
121,0.0,22.5,0.0,0.0,0.0,-1.5
126,0.0,22.5,0.0,0.0,1.5,1.5
125,0.0,22.5,0.0,0.0,1.5,0.0
122,0.0,22.5,0.0,0.0,0.0,0.0
129,0.0,22.5,0.0,1.5,-1.5,1.5
127,0.0,22.5,0.0,1.5,-1.5,-1.5
128,0.0,22.5,0.0,1.5,-1.5,0.0
131,0.0,22.5,0.0,1.5,0.0,0.0
132,0.0,22.5,0.0,1.5,0.0,1.5
135,0.0,22.5,0.0,1.5,1.5,1.5
130,0.0,22.5,0.0,1.5,0.0,-1.5
133,0.0,22.5,0.0,1.5,1.5,-1.5
134,0.0,22.5,0.0,1.5,1.5,0.0
137,0.0,22.5,1.5,-1.5,-1.5,0.0
138,0.0,22.5,1.5,-1.5,-1.5,1.5
136,0.0,22.5,1.5,-1.5,-1.5,-1.5
139,0.0,22.5,1.5,-1.5,0.0,-1.5
140,0.0,22.5,1.5,-1.5,0.0,0.0
141,0.0,22.5,1.5,-1.5,0.0,1.5
144,0.0,22.5,1.5,-1.5,1.5,1.5
143,0.0,22.5,1.5,-1.5,1.5,0.0
142,0.0,22.5,1.5,-1.5,1.5,-1.5
145,0.0,22.5,1.5,0.0,-1.5,-1.5
147,0.0,22.5,1.5,0.0,-1.5,1.5
149,0.0,22.5,1.5,0.0,0.0,0.0
148,0.0,22.5,1.5,0.0,0.0,-1.5
146,0.0,22.5,1.5,0.0,-1.5,0.0
150,0.0,22.5,1.5,0.0,0.0,1.5
151,0.0,22.5,1.5,0.0,1.5,-1.5
152,0.0,22.5,1.5,0.0,1.5,0.0
153,0.0,22.5,1.5,0.0,1.5,1.5
155,0.0,22.5,1.5,1.5,-1.5,0.0
156,0.0,22.5,1.5,1.5,-1.5,1.5
154,0.0,22.5,1.5,1.5,-1.5,-1.5
158,0.0,22.5,1.5,1.5,0.0,0.0
159,0.0,22.5,1.5,1.5,0.0,1.5
157,0.0,22.5,1.5,1.5,0.0,-1.5
161,0.0,22.5,1.5,1.5,1.5,0.0
160,0.0,22.5,1.5,1.5,1.5,-1.5
165,0.0,25.0,-1.5,-1.5,-1.5,1.5
163,0.0,25.0,-1.5,-1.5,-1.5,-1.5
166,0.0,25.0,-1.5,-1.5,0.0,-1.5
168,0.0,25.0,-1.5,-1.5,0.0,1.5
162,0.0,22.5,1.5,1.5,1.5,1.5
170,0.0,25.0,-1.5,-1.5,1.5,0.0
167,0.0,25.0,-1.5,-1.5,0.0,0.0
164,0.0,25.0,-1.5,-1.5,-1.5,0.0
171,0.0,25.0,-1.5,-1.5,1.5,1.5
169,0.0,25.0,-1.5,-1.5,1.5,-1.5
172,0.0,25.0,-1.5,0.0,-1.5,-1.5
173,0.0,25.0,-1.5,0.0,-1.5,0.0
